OMAHA STORM CHASERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,24,25,,,,,,,,,,2B,Adael Amador,COL,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,2B,Brandon Lowe,TB,"10,500,000",UFA,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SS,Oneil Cruz,PIT,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,3B,Austin Riley,ATL,"21,200,000","21,200,000","21,200,000","21,200,000","21,200,000","21,200,000","21,200,000","21,200,000",UFA,,,,
X,,X,,,,12/30,,,,,,,,,,,,3B,Jeimer Candelario,CIN,"15,000,000","18,000,000",UFA,,,,,,,,,,
X,,X,,,,12/30,24,25,,,,,,,,,,3B,Nick Maton,FA,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,OF,Teoscar Hernandez,LAD,"35,250,000",UFA,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,OF,Oswaldo Cabrera,NYY,"760,000",ARB 1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,OF,Dane Myers,MIA,"760,000",ARB 1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,OF,Cam Smith,HOU,"760,000",TC,ARB 1,ARB2,ARB3,UFA,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,OF,Corbin Carroll,ARI,"13,875,000","13,875,000","13,875,000","13,875,000","13,875,000","13,875,000",UFA,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,OF,T.J. Friedl,CIN,ARB1,ARB2,ARB3,UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P I T C H E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,24,,,,,,,,,,,SP,Hayden Wesneski,CHC,ARB 1,ARB2,ARB3,UFA,,,,,,,,,
X,,X,,,,12/30,24,,,,,,,,,,,SP,Spencer Arrighetti,HOU,"760,000",ARB 1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Gavin Stone,LAD,"760,000",ARB 1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Justin Steele,CHC,ARB 3,ARB 4,UFA,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Tobias Myers,MIL,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,SP,Angel Chivilli,COL,"760,000",TC,ARB1,ARB2,ARB 3,UFA,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Seth Lugo,KC,"15,000,000",UFA,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Ben Casparius,LAD,"760,000",TC,ARB1,ARB2,ARB 3,UFA,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Tyler Wells,BAL,ARB 3,ARB 4,UFA,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,SP,Michael Grove,LAD,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Walker Buehler,LAD,"12,037,500","12,037,500","12,037,500","12,037,500","12,037,500","12,037,500",UFA,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Johan Oviedo,PIT,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,12/30,24,25,,,,,,,,,,SP,Caden Dana,LAA,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,24,25,,,,,,,,,,SP,Chase Silseth,LAA,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,24,25,,,,,,,,,,SP,Chayce McDermott,BAL,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,24,25,,,,,,,,,,RP,Ron Marinaccio,NYY,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,
X,,X,,,,12/30,24,,,,,,,,,,,RP,Kevin Kelly,TB,ARB 1,ARB2,ARB3,UFA,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Jackson Rutledge,WSH,"760,000",TC,ARB 1,ARB2,ARB3,UFA,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,Porter Hodge,CHC,"760,000",ARB 1,ARB2,ARB3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,Mark Leiter Jr.,CHC,ARB3,UFA,,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,RP,Ryan Fernandez,STL,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,12/30,24,25,,,,,,,,,,RP,Carson Spiers,CIN,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,Juan Mejia,COL,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,Mason Fluharty,TOR,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,Hunter Dobbins,BOS,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M I N O R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,,,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,X,,,,,,,,,,,,,,,,,C,Pablo Aliendo,CHC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Will Banfield,MIA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Kehden Hettiger,PHI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Carter Jensen,KC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Drew Millas,WSH,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Caleb Roberts,ARI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Anderson Navas,PHI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Caleb Ricketts,PHI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Engelth Urena,NYY,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,Cole Mathis,CHC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Cody Milligan,ATL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Jorbit Vivas,NYY,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Marcos Castanon,SD,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Jose Devers,CLE,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Franklin Arias,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Boston Baro,NYM,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Caleb Bonemer,CHW,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Ryan Burrowes,CHW,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Jonah Cox,SF,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Joseph Parker,TOR,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Cole Foster,SF,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Dayan Frias,CLE,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Fabian Lopez,MIA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Keshawn Ogans,ATL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Rafael Ramirez,WSH,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Jeremy Rodriguez,NYM,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Randy Flores,LAA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Raymer Medina,TB,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Kole Myers,LAD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Ariel Almonte,CIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Allan Castro,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Mark Coley II,MIA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Jesse Franklin,ATL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Douglas Glod,ATL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Dillon Head,MIA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Kane Kepley,CHC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Paxton Kling,TEX,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Trevor Cohen,SFG,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Rowdey Jordan,NYM,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Edward Lantigua,NYM,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Zach Levenson,STL,,,,,,,,,,,,,
,x,,,,,,,,,,,,,,,,,OF,Simon Muzziotti,PHI,,,,,,,,,,,,,
,x,,,,,,,,,,,,,,,,,OF,Matt Rudick,NYM,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Estuar Suero,PIT,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Jerson Alejandro,NYY,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Ike Buxton,MIA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Jose Cruz,SF,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Jake Eddington,PHI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Mason Fluharty,TOR,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Keagan Gillies,BAL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Hayden Harris,ATL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Joseph Dzierwa,BAL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Garrett Hawkins,SD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Kannon Kemp,SD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Austin Krob,SD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Mathias LaCombe,CHW,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Isaiah Lowe,SD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Bryan Mata,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Tommy McCollum,PHI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Tanner McDougal,CHW,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Zane Taylor,ATH,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Marquis Grissom Jr.,WSH,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Ian Mejia,ATL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Jordarlin Mendoza,NYY,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Karson Milbrandt,MIA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Kade Morris,OAK,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Brett Wichrowski,MIL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Edwin Nunez,STL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Matthew Thompson,CHC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Brandon Clarke,BOS,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,RP,Colin Selby,BAL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,RP,Nigel Belgrave,MIA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,RP,Brandan Bidois,PIT,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,RP,Zach Brzykcy,WSH,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,RP,Raimon Gomez,NYM,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,RP,Victor Juarez,COL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,RP,Ray Kerr,ATL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,RP,Caleb Kilian,CHC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,RP,Xavier Meachem,MIA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,RP,Anthony Molina,COL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,RP,Chris Murphy,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,RP,Ryan Murphy,SF,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,RP,Nick Robertson,TOR,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,RP,Gus Varland,CHW,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D E A D   M O N E Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Traded,,,Released,,,Rule 5 Fee,,,Retirement,,,Option Buyout,,,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,,,,,,,,,,,,"Oct, 2025",,,SS,Orlando Arcia,ATL,"600,000",,,,,,,,,,,,
