WORCESTER RED SOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,24,25,,,,,,,,,,1B,Jake Bauers,MIL,"2,700,000",UFA,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,1B,Pete Alonso,NYM,"30,750,000","30,750,000","30,750,000","30,750,000",UFA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,2B,Brendan Donovan,STL,ARB 2,ARB 3,UFA,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,2B,Jazz Chisholm,MIA,ARB 3,UFA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SS,Willy Adames,MIL,"18,375,000","18,375,000",UFA,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SS,Masyn Winn,STL,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,3B,Jake Burger,MIA,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,3B,Jose Ramirez,CLE,"20,142,857","20,142,857","20,142,857",UFA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,OF,Lawrence Butler,ATH,"9,357,143","9,357,143","9,357,143","9,357,143","9,357,143","9,357,143","9,357,143",UFA,,,,,,,,,
X,,X,,,,12/30,24,,,,,,,,,,,OF,Matt Wallner,MIN,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,OF,Chandler Simpson,TB,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,OF,Carlos Cortes,ATH,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,OF,John Rave,KC,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,OF,George Springer,TOR,"25,000,000",UFA,,,,,,,,,,,,,,,
X,,X,,,,12/30,24,25,,,,,,,,,,OF,Taylor Trammell,SEA,"900,000",UFA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,U,Yordan Alvarez,HOU,"19,166,667","19,166,667","19,166,667",UFA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P I T C H E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,SP,Hunter Brown,HOU,ARB 1,ARB2,ARB3,UFA,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Michael King,SD,"7,750,000",UFA,,,,,,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,SP,Kris Bubic,KC,ARB 4,UFA,,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Cristopher Sanchez,PHI,"5,625,000","5,625,000","5,625,000","5,625,000","5,625,000",UFA,,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,SP,Zebby Matthews,MIN,"760,000",TC,ARB1,ARB2,ARB3,UFA,,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,SP,Michael Burrows,PIT,"760,000",TC,ARB1,ARB2,ARB3,UFA,,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,SP,Jack Perkins,ATH,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Ranger Suarez,PHI,"13,200,000","13,200,000",UFA,,,,,,,,,,,,,,
X,,X,,,,12/30,D,F,A,,-,O,N,L,Y,,,SP,Robbie Ray,SF,"8,000,000",UFA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,12/30,24,25,,,,,,,,,,RP,Kody Funderburk,MIN,"760,000",ARB1,ARB2,ARB3,UFA,,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,Fernando Cruz,CIN,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,,,,
x,,x,,,,12/30,25,,,,,,,,,,,RP,Calvin Faucher,MIA,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,RP,JoJo Romero,STL,ARB 3,UFA,,,,,,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,RP,Lake Bachar,MIA,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,12/30,,,,,,,,,,,,RP,David Morgan,SD,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,12/30,25,,,,,,,,,,,RP,Justin Sterner,ATH,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M I N O R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,,,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,,,,
,X,,,,,,,,,,,,,,,,,C,Michael Carico,CHC,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Nick Cimillo,PIT,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Cesar Gonzalez,ATH,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Queni Pineda,NYY,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Yasmil Bucce,BAL,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Conner O'Neal,LAD,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Richard Ramirez,PIT,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,C,Jancel Villarroel,HOU,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,Joe Vetrano,LAD,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,1B,"Ernesto Martínez, Jr.",MIL,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Marvin Alcantara,BOS,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Justin Riemer,BOS,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,2B,Riley Tirotta,TOR,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Branny De Oleo,NYM,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Jose Dickson,DET,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Phillip Glasser,WSH,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Jon Jon Gazdar,STL,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Romeli Espinosa,PHI,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Emilio Barreras,MIA,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Leo Jimenez,TOR,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Maximus Martin,BOS,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Joshua Liranzo,BAL,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Kendrick Herrera,PIT,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Eriandys Ramon,CHC,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Rafe Perich,TEX,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,3B,Kyle Karros,COL,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Asbel Gonzalez,KC,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Carlos Pacheco,ATH,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Yorman Licourt,TOR,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Matt Koperniak,STL,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Jose Ramos,ATH,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Luis Lara,MIL,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Logan Braunschweig,ATL,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Devin Taylor,ATH,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Yeuni Munoz,TOR,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Austin Overn,BAL,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Slater de Brun,BAL,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Belfi Rivera,ARI,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Kyle Amendt,ARI,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Ryan Bergert,SD,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Ryan Birchard,MIL,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Bradley Blalock,COL,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Anderson Brito,HOU,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Connor Cooke,TOR,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Bryce Cunningham,NYY,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Khristian Curtis,PIT,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Nolan DeVos,HOU,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Josh Ekness,MIA,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Brandon Decker,NYY,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,C.J. Culpepper,MIN,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Kifraidy Encarnacion,MIA,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Alessandro Ercolani,PIT,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Wei-En Lin,OAK,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Adam Serwinowski,CIN,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Moises Chace,PHI,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Matt Wilkinson,CLE,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Welinton Herrera,COL,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Winston Santos,TEX,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Will Johnston,ATH,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Andrew Lindsey,TB,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Quinton Low,MIL,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Gerelmi Maldonado,SF,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Christian McGowan,PHI,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Joseph Montalvo,DET,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Jose Olivares,MIN,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Sandy Ozuna,COL,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Jeremy Pilon,TB,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Jeremy Reyes,ATL,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Luis Rodriguez,NYM,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Tyson Hardin,MIL,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Jack Hostetler,MIL,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Grant Rogers,(N/A),,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Vicarte Domingo,SD,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Yerlin Rodriguez,MIL,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Jonathan Russell,TB,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Andrew Taylor,HOU,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Christian Zazueta,LAD,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Frank Elissalt,NYM,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Bryce Mayer,HOU,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Dane Acker,TEX,,,,,,,,,,,,,,,SS,Tyson Lewis,CIN
,X,,,,,,,,,,,,,,,,,P,Anthony Maldonado,MIA,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Yordin Chalas,ARI,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Elvis Alvarado,ATH,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Christian Montes De Oca,ARI,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Brady Basso,ATH,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Derrick Edington,TB,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Andrew Moore,CIN,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Jackson Nezuh,HOU,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Freddy Tarnok,PHI,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Evan Reifert,WSH,,,,,,,,,,,,,,,,,
D E A D   M O N E Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Traded,,,Released,,,Rule 5 Fee,,,Retirement,,,Option Buyout,,,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,,,,
,,,Oct. 2025,,,,,,,,,,,,,,,2B,Jose Altuve,HOU,"7,000,000",,,,,,,,,,,,,,,,
